Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2021,2561.00,2604.20,2525.00,2540.10,2563.592814814130002681,108167,8467,277296144.00,69089,63.87,79.20,-20.90
29-April-2021,2632.00,2641.90,2570.35,2613.55,2608.666907336856335258,65096,6086,169813781.00,19090,29.33,71.55,-18.45
28-April-2021,2594.90,2621.00,2576.70,2616.00,2608.223933391380060949,73504,5183,191714892.00,34382,46.78,44.30,21.10
27-April-2021,2555.00,2578.70,2535.00,2574.65,2559.462215364083743431,23978,1592,61370785.00,3786,15.79,43.70,19.65
26-April-2021,2534.90,2574.00,2532.50,2557.85,2557.959344847158031298,61665,4444,157736563.00,22385,36.30,41.50,22.95
23-April-2021,2524.30,2564.00,2496.25,2518.20,2524.485201994926398260,57947,3511,146286344.00,10875,18.77,67.75,-6.10
22-April-2021,2525.20,2553.00,2488.05,2509.55,2525.387832147524321184,151514,6578,382631612.00,93721,61.86,64.95,-15.65
20-April-2021,2593.00,2601.10,2529.55,2555.65,2568.653557256235827664,141120,8121,362488390.00,64092,45.42,71.55,-37.35
19-April-2021,2630.00,2645.80,2567.00,2571.95,2595.181341284681861828,98935,9219,256754266.00,35448,35.83,78.80,-58.05
16-April-2021,2580.00,2692.40,2580.00,2665.80,2664.919823525509188615,90438,5563,241010019.00,26830,29.67,112.40,85.80
15-April-2021,2581.00,2595.75,2537.00,2586.45,2562.348860113665719452,61936,5343,158701639.00,17347,28.01,58.75,5.45
13-April-2021,2572.00,2625.50,2565.15,2571.50,2588.844631109022556390,34048,2238,88144982.00,8000,23.50,60.35,-0.50
12-April-2021,2585.00,2609.60,2555.20,2600.65,2586.797500751109973627,89867,4831,232467731.00,38886,43.27,54.40,15.65
9-April-2021,2645.00,2652.40,2611.50,2628.65,2625.871005728835136855,31420,2095,82504867.00,6778,21.57,40.90,-16.35
8-April-2021,2630.00,2658.00,2628.05,2650.60,2630.717236592476053861,216110,2260,568524302.00,191928,88.81,29.95,20.60
7-April-2021,2612.00,2667.05,2600.00,2627.65,2644.452711355024173526,114795,9992,303569949.00,52025,45.32,67.05,15.65
6-April-2021,2520.00,2619.65,2505.55,2612.65,2585.160262341756062840,98345,7013,254237586.00,27302,27.76,114.10,92.65
5-April-2021,2545.50,2553.30,2484.05,2510.50,2507.195276607745562722,109921,10681,275593412.00,48740,44.34,69.25,-35.00
1-April-2021,2536.75,2563.95,2534.25,2553.15,2549.870887595671241099,59971,4172,152918307.00,16480,27.48,29.70,16.40
31-March-2021,2578.00,2581.80,2531.70,2536.75,2558.455464352311740820,57381,3162,146806733.00,9149,15.94,50.10,-41.25
30-March-2021,2527.45,2583.00,2523.85,2577.65,2557.591158789945713761,92657,6831,236978724.00,23329,25.18,59.15,50.20
26-March-2021,2430.00,2513.60,2410.95,2504.55,2479.260863662471933580,95755,6226,237401624.00,28521,29.79,102.65,74.55
25-March-2021,2441.00,2468.45,2393.50,2401.85,2429.694442925121697752,109698,9829,266532621.00,42527,38.77,74.95,-39.15
24-March-2021,2414.00,2469.95,2410.50,2444.20,2449.488643767329808027,131998,7199,323327602.00,20651,15.64,59.45,30.20
23-March-2021,2428.00,2428.00,2398.90,2409.45,2410.409107532270517005,73829,3350,177958094.00,34589,46.85,29.10,-18.55
22-March-2021,2391.80,2437.00,2391.80,2424.85,2419.967560240259892023,42787,2721,103543152.00,6857,16.03,45.20,33.05
