Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2021,5348.00,5524.00,5330.00,5453.80,5451.622981243270810902,141176,11829,769638326.00,13933,9.87,194.00,105.80
29-April-2021,5350.00,5525.00,5327.60,5484.75,5441.475444312473439321,275313,26696,1498108929.00,38445,13.96,197.40,134.75
28-April-2021,4938.00,5307.00,4920.00,5279.15,5159.441279579316389132,540834,60692,2790401265.00,185140,34.23,387.00,341.15
27-April-2021,4750.00,4931.35,4747.00,4873.45,4812.434750710085839159,95411,8165,459159212.00,15285,16.02,184.35,123.45
26-April-2021,4685.00,4835.20,4662.05,4730.60,4769.426684690563868301,128718,9021,613911064.00,18456,14.34,173.15,45.60
23-April-2021,4622.00,4758.95,4610.00,4665.10,4695.054852822832012875,176454,14924,828461209.00,21953,12.44,148.95,43.10
22-April-2021,4549.00,4720.00,4505.00,4691.70,4626.550451446775498077,121166,7348,560580612.00,44036,36.34,215.00,142.70
20-April-2021,4588.00,4697.95,4560.05,4610.00,4632.774822522924796313,154527,10053,715888795.00,12481,8.08,137.90,22.00
19-April-2021,4478.00,4505.05,4361.60,4478.05,4435.339256010887645546,119034,10891,527956173.00,15725,13.21,143.45,0.05
16-April-2021,4669.95,4690.75,4581.05,4616.55,4643.763902794211340675,76909,8724,357147238.00,21905,28.48,109.70,-53.40
15-April-2021,4778.00,4778.00,4568.00,4660.25,4645.192814304130934364,107046,10150,497249310.00,15996,14.94,210.00,-117.75
13-April-2021,4525.00,4776.15,4515.00,4727.40,4656.908696096987058161,195490,23054,910379081.00,41466,21.21,261.15,202.40
12-April-2021,4712.10,4750.00,4400.35,4512.95,4539.298337030161294211,331816,56541,1506211817.00,100874,30.40,349.65,-199.15
9-April-2021,4997.75,5025.50,4845.00,4873.20,4908.431561759283644982,94925,10898,465932866.00,32425,34.16,180.50,-124.55
8-April-2021,5099.95,5113.00,5014.60,5030.35,5062.758694685560732306,51727,5361,261881319.00,13083,25.29,98.40,-69.60
7-April-2021,4989.95,5109.90,4942.00,5076.75,5040.781532730175625332,60128,6777,303092112.00,6750,11.23,167.90,86.80
6-April-2021,5045.00,5058.75,4953.95,4992.25,5008.669141120812338936,103996,11647,520881556.00,22084,21.24,104.80,-52.75
5-April-2021,5270.00,5270.00,4925.00,4963.70,5001.352204901083752511,136378,15344,682074411.00,39381,28.88,345.00,-306.30
1-April-2021,5216.00,5285.00,5162.10,5270.00,5214.589443965179201631,63755,5163,332456150.00,5783,9.07,122.90,54.00
31-March-2021,5192.00,5216.00,5124.00,5148.90,5159.938655288254867932,62809,5981,324090587.00,10056,16.01,92.00,-43.10
30-March-2021,5220.00,5259.40,5150.00,5192.70,5205.595522334337168704,83347,10236,433870770.00,18244,21.89,109.40,-27.30
26-March-2021,5190.00,5247.80,5136.00,5183.10,5202.444148129423660262,79120,7188,411617381.00,10344,13.07,111.80,-6.90
25-March-2021,5305.00,5305.00,5106.00,5121.75,5161.819887851307464967,88989,8095,459345190.00,14631,16.44,199.00,-183.25
24-March-2021,5368.05,5369.30,5260.00,5269.85,5297.167843137254901960,65025,6233,344448339.00,10856,16.70,109.30,-98.20
23-March-2021,5410.00,5445.65,5350.00,5377.25,5388.576435456133100478,75011,6164,404202507.00,11085,14.78,95.65,-32.75
22-March-2021,5458.90,5497.05,5336.75,5389.15,5400.831859356888335551,93172,9112,503206306.00,11933,12.81,160.30,-69.75
19-March-2021,5301.00,5478.95,5189.15,5451.90,5270.485706085185520112,254339,10647,1340490064.00,146317,57.53,289.80,150.90
18-March-2021,5409.10,5525.00,5306.45,5371.60,5444.501018762956007157,112882,8993,614586164.00,11323,10.03,218.55,-37.50
