Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2021,904.00,920.60,901.20,911.30,911.434924292890193183,277715,6152,253119150.00,59418,21.40,19.40,7.30
29-April-2021,911.05,917.20,904.05,906.50,910.324531876986552073,309267,9093,281533337.00,93770,30.32,13.15,-4.55
28-April-2021,918.25,918.25,903.00,910.45,910.167794954923832238,301046,7327,274002374.00,54208,18.01,15.25,-7.80
27-April-2021,915.00,919.80,901.05,912.25,909.411157277056100872,270281,6786,245796557.00,39172,14.49,18.75,-2.75
26-April-2021,935.50,940.00,870.00,900.40,911.454074315048173223,488757,11356,445479559.00,123717,25.31,70.00,-35.10
23-April-2021,945.95,953.05,923.00,935.50,934.177002194305296930,457548,11795,427430819.00,77694,16.98,30.05,-10.45
22-April-2021,959.45,963.35,939.00,944.35,952.899754702674060607,437836,11109,417213817.00,80252,18.33,24.35,-15.10
20-April-2021,960.00,966.00,941.05,949.30,951.621722113186299335,618043,14886,588143144.00,106620,17.25,24.95,-10.70
19-April-2021,943.00,954.20,924.25,946.60,945.602100005287335587,964569,23965,912098472.00,185216,19.20,29.95,3.60
16-April-2021,920.00,944.40,910.20,938.70,929.485303872760650477,453759,12197,421762322.00,82291,18.14,34.20,18.70
15-April-2021,900.00,925.15,882.60,914.20,911.834930913305369038,564291,13382,514540245.00,53429,9.47,42.55,14.20
13-April-2021,928.00,932.40,878.25,885.20,899.989177743977051303,645614,15433,581045613.00,106461,16.49,54.15,-42.80
12-April-2021,893.00,940.00,879.85,903.00,914.812066467136729730,1275999,28505,1167299282.00,116202,9.11,60.15,10.00
9-April-2021,843.00,892.00,836.75,882.30,874.567674263155789918,350074,8969,306163404.00,86486,24.70,55.25,39.30
8-April-2021,843.50,850.05,840.10,841.75,841.800860597610519483,291193,3695,245126518.00,243113,83.49,9.95,-1.75
7-April-2021,836.20,844.70,828.75,840.60,838.979307215247315080,165275,9915,138662305.00,82767,50.08,15.95,4.40
