Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2021,1022.25,1052.50,1011.20,1033.95,1031.914966067214879613,1641333,31845,1693716087.00,154906,9.44,41.30,11.70
29-April-2021,982.00,1037.00,982.00,1031.60,1014.995340005807411709,2204080,41877,2237130929.00,465833,21.14,55.00,49.60
28-April-2021,985.05,986.35,962.10,971.05,971.457514985725372316,854313,14203,829928784.00,147646,17.28,24.25,-14.00
27-April-2021,949.00,983.35,944.40,977.15,965.737013747698365151,1271922,21609,1228342154.00,341573,26.85,38.95,28.15
26-April-2021,934.00,956.15,930.10,940.40,943.360202750162272102,750283,12419,707787123.00,217340,28.97,26.05,6.40
23-April-2021,930.00,945.30,910.65,925.20,930.188060809576023391,875520,20399,814398251.00,127436,14.56,34.65,-4.80
22-April-2021,900.00,938.50,897.60,921.20,926.906958576312085260,1989200,34225,1843803322.00,679552,34.16,40.90,21.20
20-April-2021,901.50,905.85,882.15,894.30,894.015032765213067758,772313,11364,690459432.00,225872,29.25,23.70,-7.20
19-April-2021,874.70,898.80,854.90,886.95,885.438663230416229366,997599,14647,883312725.00,217764,21.83,43.90,12.25
16-April-2021,904.00,914.10,886.50,889.60,900.611666340411724798,745838,15521,671710404.00,179946,24.13,27.60,-14.40
15-April-2021,885.05,911.75,879.75,897.85,895.449128255445351139,900952,16085,806756683.00,165541,18.37,32.00,12.80
13-April-2021,859.90,881.60,849.00,878.95,868.037613560328184710,781633,14606,678486844.00,62864,8.04,32.60,19.05
12-April-2021,876.60,893.30,843.25,851.35,868.328055811077012745,899033,14996,780655577.00,95901,10.67,50.05,-25.25
9-April-2021,921.00,930.10,885.95,899.20,904.014510367043154184,1087774,20437,983363480.00,139189,12.80,44.15,-21.80
8-April-2021,884.00,953.10,882.00,917.65,913.904358219234303583,2497465,36232,2282444148.00,572155,22.91,71.10,33.65
7-April-2021,869.00,884.85,863.00,874.75,875.728054595622706206,746580,16077,653801051.00,136773,18.32,21.85,5.75
6-April-2021,875.00,882.30,858.15,862.85,869.174286874417881795,913689,12422,794154985.00,136351,14.92,24.15,-12.15
5-April-2021,863.95,877.75,837.40,867.40,858.922555731550151597,1287287,23255,1105679840.00,99837,7.76,40.35,3.45
1-April-2021,821.00,868.65,818.65,862.85,842.736103951207452114,2422829,41099,2041805472.00,854275,35.26,50.00,41.85
31-March-2021,793.55,823.50,789.45,811.95,811.039272303788247303,1251951,19173,1015381428.00,137657,11.00,34.05,18.40
30-March-2021,777.10,806.95,777.10,799.75,797.538905588955689156,1257480,20918,1002889223.00,211447,16.82,29.85,22.65
26-March-2021,730.00,774.85,725.40,766.65,757.119831299787199063,1739654,26238,1317126543.00,241101,13.86,49.45,36.65
25-March-2021,709.00,730.50,688.50,722.90,712.855087496688590065,1921387,28518,1369670498.00,265234,13.80,42.00,13.90
24-March-2021,735.00,735.00,699.05,703.40,713.447599981993575943,755286,13859,538856984.00,138006,18.27,35.95,-31.60
23-March-2021,745.50,749.55,733.50,740.95,740.785324568413842003,665684,6640,493128938.00,145316,21.83,16.05,-4.55
22-March-2021,732.00,745.50,724.80,743.50,739.792185423422465578,846495,13384,626230386.00,256622,30.32,20.70,11.50
19-March-2021,703.50,736.70,681.20,733.00,711.266244690965445295,995002,18414,707711336.00,228909,23.01,55.50,29.50
18-March-2021,716.00,723.15,698.15,704.95,712.930795088257866462,651500,11376,464474413.00,124725,19.14,25.00,-11.05
17-March-2021,725.00,725.95,700.40,704.40,712.802699824617692157,508033,9591,362127294.00,96490,18.99,25.55,-20.60
16-March-2021,740.00,740.55,719.50,724.05,725.562055805747713450,538475,7251,390697028.00,83160,15.44,21.05,-15.95
15-March-2021,723.50,738.80,715.10,736.05,726.016111232869648175,775670,8151,563148917.00,323872,41.75,23.70,12.55
12-March-2021,739.00,745.10,714.30,719.85,729.196507057589398345,602472,9982,439320478.00,71055,11.79,30.80,-19.15
10-March-2021,716.40,729.70,703.00,724.20,713.201702871988784710,777510,11676,554521456.00,212609,27.34,26.70,7.80
9-March-2021,743.00,750.90,702.00,706.60,724.168717506596650730,918648,18874,665256144.00,179568,19.55,48.90,-36.40
8-March-2021,744.90,751.00,735.00,737.35,744.333277607333786489,544330,9971,405162933.00,93113,17.11,16.00,-7.55
